"" "Mediators" "Estimate" "CI_Lower" "CI_Upper" "p_value" "p_adj"
"1" "Streptococcus" -0.0587877037715609 -0.758973488922865 0.505211639352118 0.870305458187281 0.965503811272464
"2" "Pseudomonas" -0.0421857395775401 -1.17632320278907 0.395704599045085 0.908362543815724 0.965503811272464
"3" "Atopobium" 0.0352187346662517 -0.759313152126232 1.0793438183348 0.973460190285428 0.973460190285428
"4" "Prevotella_7" -0.241735534653937 -1.26055071967844 0.397628358215403 0.533800701051577 0.965503811272464
"5" "Veillonella" -0.409455911267608 -1.48932943563253 0.387285574410199 0.337506259389084 0.965503811272464
"6" "Rothia" -0.0797304396257519 -0.886973860654248 0.358873584205071 0.790185277916875 0.965503811272464
"7" "Porphyromonas" 0.0127610924181049 -0.843723607559262 1.0947492275805 0.939409113670506 0.965503811272464
"8" "Fusobacterium" 0.157001026146569 -0.411812638749408 0.799269165484428 0.470706059088633 0.965503811272464
"9" "Capnocytophaga" 0.551764582082654 -0.14099371714963 1.59718045055441 0.168252378567852 0.965503811272464
"10" "Stenotrophomonas" 0.192164283750473 -0.402128818422227 0.998027893237699 0.503755633450175 0.965503811272464
"11" "Tannerella" -0.0660699705885996 -0.680834072709109 0.279835932719233 0.759138708062093 0.965503811272464
"12" "Lachnoanaerobaculum" -0.508952082157818 -1.88685120007743 0.43679381204173 0.2864296444667 0.965503811272464
"13" "Peptostreptococcus" -0.0413434224799964 -1.00395549865073 1.20369115640284 0.894341512268403 0.965503811272464
"14" "Bergeyella" -0.253818181200646 -0.898142791817324 0.316221029391269 0.340510766149224 0.965503811272464
"15" "Catonella" -0.290404762522172 -1.318549901799 0.540013215790417 0.523785678517777 0.965503811272464
"16" "Alloprevotella" 0.0243476213356438 -0.226446010472817 0.422838723307112 0.913370055082624 0.965503811272464
"17" "Acinetobacter" 0.535295419376131 -0.40892902829366 1.61611006314399 0.241362043064597 0.965503811272464
"18" "Actinomyces" 0.175865157079835 -0.453454278615954 0.933939950270435 0.503755633450175 0.965503811272464
"19" "Oribacterium" -0.0517021715663214 -0.586513038324855 0.695863391199175 0.864296444667001 0.965503811272464
"20" "Gemella" 0.0536197966777943 -0.643205489687833 0.932304353967236 0.877315973960941 0.965503811272464
"21" "Campylobacter" -0.0872995868044748 -0.322249650839363 0.543517138015173 0.417626439659489 0.965503811272464
"22" "Staphylococcus" -0.0689818545921109 -0.889788941119804 0.755835244294788 0.902353530295443 0.965503811272464
"23" "Stomatobaculum" -0.10850038769129 -1.1316575693784 0.736603205992165 0.894341512268403 0.965503811272464
"24" "Neisseria" 0.059637729524159 -0.597431670711121 0.43431994120643 0.784176264396595 0.965503811272464
"25" "Megasphaera" 0.485139697881517 -0.456717915810131 1.77300406805856 0.351527290936405 0.965503811272464
"26" "Leptotrichia" -0.0753538714050561 -0.897721964170001 0.177922655683199 0.773159739609414 0.965503811272464
"27" "Lautropia" -0.0339951002002954 -0.816977663863298 0.798816969895408 0.938407611417126 0.965503811272464
"28" "Selenomonas" -0.127018104736953 -1.27700710160242 0.520587332856856 0.758137205808713 0.965503811272464
"29" "Burkholderia" -0.33510284783163 -0.839418640844152 0.511465693532182 0.231347020530796 0.965503811272464
"30" "Prevotella" -0.280680726817205 -1.45836482613437 0.514602955469866 0.528793189784677 0.965503811272464
"31" "Abiotrophia" -0.0488996994171227 -0.583674800519492 0.0520206021266486 0.647971957936905 0.965503811272464
"32" "Parvimonas" -0.0378093851297675 -0.471963088679592 0.480578396140366 0.887330996494742 0.965503811272464
"33" "Mogibacterium" -0.00787094546635549 -0.408067884622236 0.330178038728659 0.924386579869805 0.965503811272464
"34" "Dialister" -0.0295665000702498 -0.62432128269801 0.0521745422164149 0.783174762143215 0.965503811272464
"35" "Haemophilus" -0.145218652929323 -1.32869801762417 0.600863298899027 0.700050075112669 0.965503811272464
"36" "Corynebacterium" -0.196157981503806 -0.930223489821431 0.440238330071214 0.516775162744116 0.965503811272464
"37" "Treponema" 0.316052012339939 -0.288173757136456 0.959795081220817 0.219328993490235 0.965503811272464
