"" "Mediators" "Estimate" "CI_Lower" "CI_Upper" "p_value" "p_adj"
"1" "Streptococcus" 0.0977555689318506 -1.00711365136881 1.2223707401594 0.839456467035732 0.997483643683946
"2" "Pseudomonas" 0.0288185445594187 -0.65520852340029 1.58424505811576 0.958228485153498 0.997483643683946
"3" "Atopobium" 0.0155091081158253 -1.0168901057588 1.56312878881122 0.835430296930045 0.997483643683946
"4" "Prevotella_7" -0.288294945482535 -1.52209699665166 0.518839631436398 0.563663814796175 0.997483643683946
"5" "Veillonella" -0.777393398781111 -2.4733926991301 0.555534584783851 0.234524408656266 0.997483643683946
"6" "Rothia" -0.105750457426149 -0.887871128360236 0.622613113123673 0.779063915450428 0.997483643683946
"7" "Porphyromonas" 0.556064519726255 -0.463908874882815 1.92033793338646 0.325113236034222 0.997483643683946
"8" "Fusobacterium" -0.575000599784002 -1.73077236975986 0.393786357131974 0.308002013085053 0.997483643683946
"9" "Capnocytophaga" 0.98668079453294 -0.424008830793158 2.49005984992877 0.181177654755913 0.997483643683946
"10" "Stenotrophomonas" -0.131175506535771 -0.702879139784191 0.254446497185896 0.528434826371414 0.997483643683946
"11" "Tannerella" -0.0764367395373869 -0.928011485486446 0.684739307556951 0.84952189229995 0.997483643683946
"12" "Lachnoanaerobaculum" -0.498051810580951 -2.16308625773189 0.693150230716025 0.484146955208858 0.997483643683946
"13" "Peptostreptococcus" -0.0294404895908148 -0.904969882725559 0.534352897047029 0.997483643683946 0.997483643683946
"14" "Bergeyella" -0.418156100039589 -1.71809284334701 0.681033288949245 0.360342224458983 0.997483643683946
"15" "Catonella" -0.138955280930708 -1.0147487146627 0.611730297854151 0.680422747861097 0.997483643683946
"16" "Alloprevotella" 0.303782729945846 -0.254669227772009 1.08961471295326 0.323100150981379 0.997483643683946
"17" "Acinetobacter" 0.230476454669135 -0.485064038825548 1.13681892388498 0.611977856064419 0.997483643683946
"18" "Actinomyces" -0.205421830063966 -1.37060042676083 0.486279869068843 0.664318067438349 0.997483643683946
"19" "Oribacterium" 0.0243625279724065 -0.841411564458648 1.00980894374069 0.97131353799698 0.997483643683946
"20" "Gemella" -0.0492212940856718 -0.667467966488655 0.391074414979725 0.900855561147458 0.997483643683946
"21" "Campylobacter" -0.140348731400965 -0.567877056190279 0.553292543021753 0.46804227478611 0.997483643683946
"22" "Staphylococcus" -0.157577996279735 -1.06982522818061 0.486124930717033 0.685455460493206 0.997483643683946
"23" "Stomatobaculum" 0.0476270190465723 -0.556888777553441 0.880865902078623 0.943130347257172 0.997483643683946
"24" "Neisseria" -0.0559820995127633 -0.589317476827804 0.470348569111272 0.89582284851535 0.997483643683946
"25" "Megasphaera" 0.445727859596081 -0.225601698914836 1.39835828531177 0.209360845495722 0.997483643683946
"26" "Leptotrichia" -0.332166059536521 -1.41507805834854 0.471139558593079 0.433819828887771 0.997483643683946
"27" "Lautropia" -0.125180363151905 -0.837937737340319 0.315581798746044 0.454957221942627 0.997483643683946
"28" "Selenomonas" -0.57440155327534 -1.90873769535337 0.456759080768934 0.31202818319074 0.997483643683946
"29" "Burkholderia" -0.974900292045585 -2.22885887054146 -0.00806900090587579 0.0261701056869652 0.484146955208856
"30" "Prevotella" 0.187647905118605 -0.591505576594946 0.884741401165963 0.534474081529945 0.997483643683946
"31" "Abiotrophia" -0.102970012626807 -0.523578347115758 0.193676515221487 0.458983392048314 0.997483643683946
"32" "Parvimonas" -0.0804714689361455 -0.676324188965629 0.434816454850228 0.812279818822345 0.997483643683946
"33" "Mogibacterium" -0.0607111044322296 -0.809777817300463 0.41344880038403 0.876698540513337 0.997483643683946
"34" "Dialister" 0.179988455104733 -0.233588456078789 0.636869838646563 0.322093608454957 0.997483643683946
"35" "Haemophilus" 0.0451751892555994 -0.430245658785556 0.735793995321889 0.853548062405637 0.997483643683946
"36" "Corynebacterium" -0.297360831104979 -1.64848233885241 0.321896110767737 0.493205837946653 0.997483643683946
"37" "Treponema" -0.831249705165593 -1.57054211711443 -0.149716059573753 0.0050327126321088 0.186210367388026
