"" "Mediators" "Estimate" "CI_Lower" "CI_Upper" "p_value" "p_adj"
"1" "Streptococcus" -0.117611926465721 -0.916330725605775 0.591645197286961 0.726666666666667 0.94
"2" "Pseudomonas" -0.221806394831782 -1.00110085918344 0.253540345555006 0.444 0.94
"3" "Atopobium" 0.0483227467257732 -0.212512378550452 0.505921670872499 0.814 0.94
"4" "Prevotella_7" 0.124930183715867 -0.360112387206174 0.820729912200702 0.61 0.94
"5" "Veillonella" -0.027711313785201 -0.536336897925167 0.31830743333305 0.9 0.94
"6" "Rothia" 0.0147010680309585 -0.135440201804702 0.243365530648 0.899333333333333 0.94
"7" "Porphyromonas" 0.337822567101694 -0.101002891694597 1.11499655760673 0.137333333333333 0.94
"8" "Fusobacterium" -0.0378029803785492 -0.447629520207488 0.238190395333611 0.987333333333333 0.987333333333333
"9" "Capnocytophaga" 0.0850306113577377 -0.444339507808983 0.856684081009184 0.804 0.94
"10" "Stenotrophomonas" -0.0296571274183244 -0.615479109340556 0.545754915368416 0.826 0.94
"11" "Tannerella" -0.34603739314463 -1.20393327387221 0.272944355615288 0.26 0.94
"12" "Lachnoanaerobaculum" -0.0473608691332663 -0.556478874284419 0.13408814254869 0.797333333333333 0.94
"13" "Peptostreptococcus" -0.0241814375084846 -0.336108588804508 0.157971984588982 0.838666666666667 0.94
"14" "Bergeyella" -0.191212464812739 -0.833294465341343 0.346466987508174 0.486 0.94
"15" "Catonella" -0.0310163541653866 -0.636217415075053 0.407045064618231 0.937333333333333 0.957710144927536
"16" "Alloprevotella" 0.0705199926616383 -0.0463702860234981 0.517939776282547 0.655333333333333 0.94
"17" "Acinetobacter" 0.0172516950136399 -0.477479002583366 0.29414942479723 0.871333333333333 0.94
"18" "F0058" 0.167642239141109 -0.186935085597536 0.782774257100117 0.554 0.94
"19" "Actinomyces" 0.0912529940600024 -0.36299485108002 0.667597732215199 0.672666666666667 0.94
"20" "Oribacterium" 0.0521387202424088 -0.159438719934692 0.450103737808735 0.758666666666667 0.94
"21" "Gemella" 0.267017988749191 -0.296538672790667 0.869854015685845 0.325333333333333 0.94
"22" "Campylobacter" -0.106282204938423 -0.387401161412485 0.186325875878824 0.21 0.94
"23" "Kingella" 0.0915919608467933 -0.268505237337791 0.497033079706789 0.323333333333333 0.94
"24" "Staphylococcus" 0.0311852438714512 -0.386784343279376 0.640433524544368 0.864666666666667 0.94
"25" "Stomatobaculum" -0.0290391597508846 -0.535143648616761 0.246398478546872 0.835333333333333 0.94
"26" "Scardovia" -0.0280881277934296 -0.66376586204914 0.626092520446271 0.76 0.94
"27" "Neisseria" 0.0115414755773885 -0.406847272753025 0.395789570775537 0.855333333333333 0.94
"28" "Megasphaera" -0.0839012713655071 -0.706763643819909 0.322109272370068 0.798 0.94
"29" "Leptotrichia" -0.0186366466201939 -0.294958579390009 0.167856355611956 0.890666666666667 0.94
"30" "Lautropia" 0.0775795876463832 -0.463923409411428 0.479701080547917 0.702666666666667 0.94
"31" "Cloacibacterium" 0.0193194741295977 -0.145932636437705 1.4007850568514 0.840666666666667 0.94
"32" "Selenomonas" -0.0451799323215146 -0.413385554115266 0.16071368592055 0.765333333333333 0.94
"33" "Burkholderia" -0.183115996525771 -0.623106216865555 0.0542462133500391 0.185333333333333 0.94
"34" "Prevotella" -0.217401871969733 -0.845760415832294 0.209016922676604 0.438666666666667 0.94
"35" "Limosilactobacillus" -0.481994482587639 -1.82851059579304 0.633788754586558 0.436 0.94
"36" "Abiotrophia" 0.0181814793783447 -0.11872925795403 0.290493981650048 0.817333333333333 0.94
"37" "Parvimonas" -0.0131721761585806 -0.468297812833812 0.252588463740118 0.896 0.94
"38" "Mogibacterium" 0.119343105862996 -0.124342870321607 0.516688029353324 0.342 0.94
"39" "Mycoplasma" -0.0162633654365325 -0.333012235204951 0.0988538940284563 0.816 0.94
"40" "Clostridia_UCG_014" -0.199592030265567 -0.894049476376991 0.201835827282843 0.502666666666667 0.94
"41" "Eubacterium_nodatum_group" -0.124536237197978 -0.491267238720183 0.234268407428839 0.423333333333333 0.94
"42" "Dialister" 0.0289785073050819 -0.185650088480129 0.366919516146125 0.706666666666667 0.94
"43" "Haemophilus" -0.0554435280209495 -0.61380645147253 0.175197111235289 0.808 0.94
"44" "Corynebacterium" -0.152652835308851 -0.775805702116033 0.390634316855832 0.502666666666667 0.94
"45" "Eubacterium_brachy_group" -0.0492652853542245 -0.327862487423542 0.116552740817161 0.542666666666667 0.94
"46" "Treponema" -0.039378549914973 -0.243886474838047 0.132765245673148 0.654666666666667 0.94
"47" "Shuttleworthia" -0.0627608101017362 -0.351437878229511 0.0767042521276913 0.504 0.94
