"" "Mediators" "Estimate" "CI_Lower" "CI_Upper" "p_value" "p_adj"
"1" "Streptococcus" 0.244640700687253 -0.210072335435321 1.05175495231066 0.392929292929293 0.992929292929293
"2" "Pseudomonas" -0.223614570970956 -1.09053934642272 0.337443480226481 0.466666666666667 0.992929292929293
"3" "Atopobium" -0.544682579837682 -1.86820125940727 0.284190235238437 0.215151515151515 0.992929292929293
"4" "Prevotella_7" 0.068414810557641 -0.66108671845386 1.03978327397521 0.902020202020202 0.992929292929293
"5" "Veillonella" 0.0590499647430897 -0.804805548144494 0.920954190425299 0.842424242424242 0.992929292929293
"6" "Alloprevotella" 0.424076454279482 -0.192154946996267 1.35779266594207 0.231313131313131 0.992929292929293
"7" "Rothia" -0.00927906270109848 -0.543767264181816 0.541201411734693 0.937373737373737 0.992929292929293
"8" "Porphyromonas" 1.08021490597791 -0.0532851482265527 2.97046494381051 0.0696969696969697 0.695151515151516
"9" "Fusobacterium" -0.109975452615745 -1.44419314038987 1.09093326657291 0.839393939393939 0.992929292929293
"10" "Capnocytophaga" -0.508907305945869 -1.76963805602987 0.505036874827198 0.315151515151515 0.992929292929293
"11" "Stenotrophomonas" -0.211832989450354 -1.25017344006623 0.636921596978957 0.616161616161616 0.992929292929293
"12" "Tannerella" -0.0320603387149268 -0.847829156822397 0.683541069938153 0.913131313131313 0.992929292929293
"13" "Lachnoanaerobaculum" 0.0280863587167342 -0.372932121527647 0.520533908230496 0.909090909090909 0.992929292929293
"14" "Peptostreptococcus" -0.114789698036669 -1.09807345245548 0.428121533592932 0.77979797979798 0.992929292929293
"15" "Bergeyella" -0.0373628385036126 -0.537462784043284 0.321504216382248 0.875757575757576 0.992929292929293
"16" "Haemophilus" -0.218813914857234 -1.94503884916488 1.13453568776287 0.815151515151515 0.992929292929293
"17" "Catonella" 0.00274790109265749 -0.544252305928779 0.498181609448913 0.985858585858586 0.992929292929293
"18" "Acinetobacter" 0.490127594039378 -1.25756935067609 2.33702858281638 0.48989898989899 0.992929292929293
"19" "Actinomyces" -0.0150944135241731 -0.752987832485115 0.723692402725664 0.971717171717172 0.992929292929293
"20" "Oribacterium" -1.38559237976572 -3.27484916090139 0.213641362187983 0.0767676767676768 0.695151515151516
"21" "Gemella" -0.139702123555679 -1.44337398536332 0.916130413014562 0.842424242424243 0.992929292929293
"22" "Campylobacter" 0.0175728449898555 -0.846027997693092 1.055894182985 0.992929292929293 0.992929292929293
"23" "Kingella" 0.600892283402828 -1.67330935958712 3.47830461390742 0.622222222222222 0.992929292929293
"24" "Staphylococcus" 0.184962861529915 -0.926477691680532 1.30906597797608 0.72020202020202 0.992929292929293
"25" "Stomatobaculum" 0.0249552528996151 -0.808122560742787 0.997657059659574 0.978787878787879 0.992929292929293
"26" "Scardovia" -1.56115861821071 -3.76827449715203 0.0427920645437145 0.0585858585858585 0.695151515151516
"27" "Neisseria" -0.165088978861722 -1.24831995506099 0.555146519756919 0.708080808080808 0.992929292929293
"28" "Megasphaera" 0.0217146467193297 -0.529877844037954 0.60945770497043 0.937373737373737 0.992929292929293
"29" "Leptotrichia" -0.0775978787072135 -0.774589371877145 0.433920836441718 0.808080808080808 0.992929292929293
"30" "Selenomonas" -0.514886927605237 -1.9504476271253 0.422736979421912 0.304040404040404 0.992929292929293
"31" "Burkholderia" -1.0754959540464 -2.52525077590262 0.193378790732626 0.093939393939394 0.695151515151516
"32" "Prevotella" -0.134985264076244 -1.68413743593611 1.21629603529033 0.885858585858586 0.992929292929293
"33" "Abiotrophia" -0.882454145731499 -2.24898999502133 0.124706365477593 0.093939393939394 0.695151515151516
"34" "Parvimonas" -0.187679190126777 -1.33113084499874 0.645816760946695 0.663636363636364 0.992929292929293
"35" "Mogibacterium" -0.419841889751732 -1.76224663604161 0.503461816456512 0.427272727272727 0.992929292929293
"36" "Dialister" -0.192839830290718 -1.25808588103822 0.562963470001252 0.62020202020202 0.992929292929293
"37" "Corynebacterium" 0.25590249851646 -0.760830851119258 1.76230498202735 0.655555555555556 0.992929292929293
