"" "Mediators" "Estimate" "CI_Lower" "CI_Upper" "p_value" "p_adj"
"1" "Streptococcus" -1.70122808237962 -3.63739023265267 0.105306379180479 0.0353178607467204 0.964902875882947
"2" "Pseudomonas" -0.194741041108293 -1.61171903674994 0.694310735152724 0.778002018163471 0.964902875882947
"3" "Atopobium" -0.306647236759842 -1.25047944541459 0.696043781338875 0.388496468213925 0.964902875882947
"4" "Prevotella_7" 0.14144663317999 -0.65270164988731 1.85816056574289 0.792129162462159 0.964902875882947
"5" "Veillonella" 0.0404010336465606 -0.864610638599589 1.48940231959727 0.996972754793138 0.996972754793138
"6" "Rothia" 0.0994939861768135 -0.168035939338215 0.741561295304863 0.709384460141271 0.964902875882947
"7" "Porphyromonas" 0.253301030146891 -0.681203272943593 1.77043132788989 0.614530776992936 0.964902875882947
"8" "Fusobacterium" 0.0130247867577727 -2.7599688270514 1.87304511566898 0.800201816347124 0.964902875882947
"9" "Capnocytophaga" 0.305020918229772 -0.752715320483189 1.79402814791559 0.53380423814329 0.964902875882947
"10" "Stenotrophomonas" 0.129998659721296 -0.31944614136986 0.819340069616366 0.644803229061554 0.964902875882947
"11" "Tannerella" -0.860653828305598 -2.91363411710388 0.774477269397794 0.273461150353179 0.964902875882947
"12" "Lachnoanaerobaculum" 0.241451277644415 -0.949863913480074 1.66615845238395 0.574167507568113 0.964902875882947
"13" "Peptostreptococcus" -0.379981744256836 -2.19662119386278 0.77294842661252 0.616548940464178 0.964902875882947
"14" "Bergeyella" -0.0465060219579325 -2.62773796064835 1.53621100767524 0.802219979818365 0.964902875882947
"15" "Catonella" 1.12607023279214 -0.807744135767883 4.23153106754096 0.200807265388496 0.964902875882947
"16" "Alloprevotella" -0.101314874431436 -2.37028644660613 0.445076463526259 0.834510595358224 0.964902875882947
"17" "Acinetobacter" -0.178484690137168 -1.34900312229003 0.309999639207635 0.800201816347124 0.964902875882947
"18" "Actinomyces" -0.299215275934436 -1.8198287575436 0.787569255551394 0.624621594349142 0.964902875882947
"19" "Oribacterium" -0.0472954089607379 -0.575815681737246 1.7231220416053 0.919273461150353 0.996972754793138
"20" "Gemella" -1.11269773671569 -2.94930950333417 0.845895591741689 0.220988900100908 0.964902875882947
"21" "Campylobacter" -0.19896009344154 -1.95629947189221 0.218367836283429 0.572149344096872 0.964902875882947
"22" "Staphylococcus" 0.484470877292447 -0.329693094060382 1.5540174362332 0.214934409687185 0.964902875882947
"23" "Stomatobaculum" 0.628754141992829 -0.339963643063851 2.01520983625232 0.190716448032291 0.964902875882947
"24" "Neisseria" 0.375057253822559 -0.696468323886275 1.60765575070787 0.476286579212916 0.964902875882947
"25" "Megasphaera" 0.104079562646922 -0.342113929969338 0.869507239485291 0.742684157416751 0.964902875882947
"26" "Leptotrichia" 0.0105890305141478 -0.435902859785957 0.829741299579701 0.834510595358224 0.964902875882947
"27" "Lautropia" -0.0634228093816556 -1.45264942640367 0.850505575323031 0.996972754793138 0.996972754793138
"28" "Selenomonas" -0.0701471724107917 -1.62412950931567 1.23589003125693 0.968718466195762 0.996972754793138
"29" "Burkholderia" -0.605963571811157 -1.70374657559472 0.0777392105447257 0.0887991927346115 0.964902875882947
"30" "Prevotella" 0.0305991620424887 -1.29706005784208 1.22103508183909 0.938446014127144 0.996972754793138
"31" "Abiotrophia" 0.0432782506017513 -0.128817858206306 0.762243302660767 0.708375378405651 0.964902875882947
"32" "Parvimonas" 0.516700129998353 -1.03704185700908 2.36360322243786 0.477295660948537 0.964902875882947
"33" "Mogibacterium" 0.140886022239197 -1.64575939261913 1.80547540053995 0.688193743693239 0.964902875882947
"34" "Dialister" -0.233387894418607 -1.00660431142331 0.944970048056259 0.514631685166498 0.964902875882947
"35" "Haemophilus" -0.112141514230894 -0.756266898432287 0.718775816956561 0.721493440968718 0.964902875882947
"36" "Corynebacterium" -0.822984508322376 -2.34785334715375 0.562161903530531 0.214934409687185 0.964902875882947
"37" "Treponema" 0.25621712528688 -0.675215007643542 1.32137345890036 0.552976791120081 0.964902875882947
