"" "Mediators" "Estimate" "CI_Lower" "CI_Upper" "p_value" "p_adj"
"1" "Streptococcus" -0.190330965181761 -1.71396775951522 0.898199064249436 0.73 0.974666666666667
"2" "Pseudomonas" -0.0785427071621714 -1.55313650897951 0.838271733361445 0.932666666666667 0.974666666666667
"3" "Atopobium" -0.0448731014501638 -0.495955096455033 0.342079298842004 0.804 0.974666666666667
"4" "Prevotella_7" -0.0148240927673764 -0.403622246509596 0.419146307966033 0.971333333333333 0.974666666666667
"5" "Veillonella" 0.22459399177227 -0.784727499532827 1.49525393952455 0.554 0.974666666666667
"6" "Rothia" 0.169986532044989 -0.264336409498089 1.86954302997355 0.693333333333333 0.974666666666667
"7" "Porphyromonas" 0.0712274778301505 -0.209748277142281 0.516330827805832 0.652 0.974666666666667
"8" "Fusobacterium" -0.159358341434281 -0.91725366384516 0.377030055423651 0.480666666666667 0.974666666666667
"9" "Capnocytophaga" -0.0817107392065815 -0.441339331812106 0.307505203590445 0.652666666666667 0.974666666666667
"10" "Stenotrophomonas" 0.268293385226461 -0.936522996270046 1.91227874688603 0.679333333333333 0.974666666666667
"11" "Tannerella" -0.091841936768361 -3.45407339209108 0.0673933452195484 0.832 0.974666666666667
"12" "Lachnoanaerobaculum" 0.1287166771395 -0.193579875404337 0.653869857669509 0.460666666666667 0.974666666666667
"13" "Peptostreptococcus" -0.178995102982882 -0.820450116708847 0.260360944433911 0.433333333333333 0.974666666666667
"14" "Bergeyella" -0.401742968305255 -1.59345854273012 0.670767856401959 0.376666666666667 0.974666666666667
"15" "Catonella" 0.169055322310893 -0.177882094365956 0.820673095980011 0.372 0.974666666666667
"16" "Alloprevotella" -0.0545440921289684 -0.32118064071945 0.181763357273656 0.558666666666667 0.974666666666667
"17" "Acinetobacter" 0.0304564694476216 -0.247424371250684 0.906986841664641 0.900666666666667 0.974666666666667
"18" "F0058" -0.0513428846593284 -0.449285317214523 0.159490764925732 0.712666666666667 0.974666666666667
"19" "Actinomyces" -0.0850267980799809 -0.801626201262324 0.170854990721336 0.744 0.974666666666667
"20" "Oribacterium" -0.0240914107021941 -0.309960288401933 0.259387255587271 0.803333333333333 0.974666666666667
"21" "Gemella" -0.0605289789834119 -0.576659138179609 0.421316777522115 0.72 0.974666666666667
"22" "Campylobacter" -0.0805570057221393 -0.452855131967941 0.214012703324259 0.515333333333333 0.974666666666667
"23" "Kingella" -0.0184979350970776 -0.215985700561153 0.13444811795107 0.864 0.974666666666667
"24" "Staphylococcus" -0.227724226167564 -1.47908149770433 0.33589138012323 0.586 0.974666666666667
"25" "Stomatobaculum" 0.0210551569648626 -0.932688652016378 0.178685657897035 0.963333333333333 0.974666666666667
"26" "Scardovia" -0.0686718655002941 -0.514588400953603 0.0578646362573682 0.313333333333333 0.974666666666667
"27" "Neisseria" 0.0713307152627409 -0.142426815716663 0.604870825675647 0.816666666666667 0.974666666666667
"28" "Megasphaera" -0.140064864570811 -1.08714267390637 0.393464339032923 0.71 0.974666666666667
"29" "Leptotrichia" -0.0172230733553685 -0.272750698124978 0.140116302203354 0.806666666666667 0.974666666666667
"30" "Lautropia" 0.157539399419112 -0.374201893041337 0.886586535515059 0.574666666666667 0.974666666666667
"31" "Cloacibacterium" 0.0611548280698106 -0.461246769132321 0.658571800685137 0.769333333333333 0.974666666666667
"32" "Selenomonas" 0.0820257570032359 -0.167291213156503 0.577207788716537 0.648666666666667 0.974666666666667
"33" "Burkholderia" -0.0957745326587866 -1.69629427028407 0.536559377746588 0.836 0.974666666666667
"34" "Prevotella" -0.0155068387354033 -0.512899713686671 0.419234379400501 0.950666666666667 0.974666666666667
"35" "Limosilactobacillus" 0.109619317517684 -0.0727300997442424 0.383098348035151 0.202 0.974666666666667
"36" "Abiotrophia" 0.278969855453967 -0.182996923297491 0.86204671216848 0.362 0.974666666666667
"37" "Parvimonas" -0.0250161704639499 -0.659110977168647 0.388657277401144 0.946666666666667 0.974666666666667
"38" "Mogibacterium" 0.139105472931041 -0.403673039611141 1.09792702544384 0.685333333333333 0.974666666666667
"39" "Mycoplasma" 0.089231200309376 -0.256848690211673 0.689703442566477 0.569333333333333 0.974666666666667
"40" "Clostridia_UCG_014" 0.0107755957464931 -0.297270483769529 0.913498084836117 0.620666666666667 0.974666666666667
"41" "Eubacterium_nodatum_group" -0.0855438582531386 -0.85716317628257 1.02067383207999 0.892 0.974666666666667
"42" "Dialister" 0.058202301600786 -0.266916721857379 0.924930382786017 0.740666666666667 0.974666666666667
"43" "Haemophilus" -0.133319035174307 -0.427506515176224 2.46331642207559 0.397333333333333 0.974666666666667
"44" "Corynebacterium" -0.383876535744929 -1.11671467681075 0.211748462876337 0.166666666666667 0.974666666666667
"45" "Eubacterium_brachy_group" 0.00737501037537436 -0.314915438672696 0.40742136641002 0.877333333333333 0.974666666666667
"46" "Treponema" -0.0132518169435909 -0.670825782588203 0.596453450888705 0.974666666666667 0.974666666666667
"47" "Shuttleworthia" -0.0216381713773186 -0.634452945966978 0.262174148356123 0.785333333333333 0.974666666666667
