"" "Mediators" "Estimate" "CI_Lower" "CI_Upper" "p_value" "p_adj"
"1" "Streptococcus" 0.312694968843339 -0.802811252459154 1.7345954860958 0.546370967741935 0.994959677419355
"2" "Pseudomonas" -0.0533596507720664 -0.906149487252804 0.72207596225499 0.943548387096774 0.994959677419355
"3" "Atopobium" -0.946560205169011 -3.99370101594776 0.89968883478822 0.34375 0.994959677419355
"4" "Prevotella_7" -0.336462713338314 -1.81288776323044 0.551538193424797 0.557459677419355 0.994959677419355
"5" "Veillonella" 0.248205728588889 -1.19152037026306 2.60573957994736 0.826612903225806 0.994959677419355
"6" "Rothia" -0.0520293863904529 -0.835728106264732 0.818917850732794 0.994959677419355 0.994959677419355
"7" "Porphyromonas" -0.0925786325381485 -0.958385934859301 0.440498782208036 0.763104838709677 0.994959677419355
"8" "Fusobacterium" -0.0526927170067382 -2.72731858430478 0.597565399545408 0.965725806451613 0.994959677419355
"9" "Capnocytophaga" -0.101563866506061 -1.27365850174945 0.766299194490832 0.837701612903226 0.994959677419355
"10" "Stenotrophomonas" -0.179639120956437 -1.20470165841775 0.427563614181496 0.689516129032258 0.994959677419355
"11" "Tannerella" -0.0104508543466675 -1.03962596029437 0.441356240811939 0.946572580645161 0.994959677419355
"12" "Lachnoanaerobaculum" 0.0572576719125333 -0.402513132803441 2.08609646878097 0.640120967741935 0.994959677419355
"13" "Peptostreptococcus" -0.594901680448361 -4.21378178590113 0.731059227847794 0.767137096774194 0.994959677419355
"14" "Bergeyella" -0.123410619043911 -1.27824909949659 0.824519913298715 0.86491935483871 0.994959677419355
"15" "Catonella" -0.265315311406217 -2.37421762317435 0.862245067063368 0.654233870967742 0.994959677419355
"16" "Alloprevotella" -0.0855956941626266 -1.84008288798309 0.754198551227409 0.971774193548387 0.994959677419355
"17" "Acinetobacter" -0.0502151108266965 -0.619572859443301 0.174297270844944 0.70866935483871 0.994959677419355
"18" "Actinomyces" 0.169621945521851 -1.01353419880027 2.83421659499779 0.955645161290323 0.994959677419355
"19" "Oribacterium" -0.160754872470252 -1.97295939057353 0.482833411508782 0.581653225806452 0.994959677419355
"20" "Gemella" 0.378956744892174 -0.459005426719885 1.56275456465004 0.339717741935484 0.994959677419355
"21" "Campylobacter" -0.0727272389344233 -0.88447100219885 0.457442224790401 0.832661290322581 0.994959677419355
"22" "Staphylococcus" -0.0444690994651301 -1.42482298745071 0.733333986452952 0.960685483870968 0.994959677419355
"23" "Stomatobaculum" 0.20960948632598 -0.923474784692183 1.06266715718364 0.44758064516129 0.994959677419355
"24" "Neisseria" -0.385391386222976 -1.7204847842332 0.729710037876974 0.430443548387097 0.994959677419355
"25" "Megasphaera" 0.190615464063995 -0.464338099833745 1.51867625053161 0.622983870967742 0.994959677419355
"26" "Leptotrichia" 0.665213656860632 -0.815372976211874 2.3896833641415 0.502016129032258 0.994959677419355
"27" "Lautropia" -0.0998106801388614 -0.8176153844892 0.320683374645971 0.617943548387097 0.994959677419355
"28" "Selenomonas" -0.0424742904534536 -1.07620446121098 0.732808929765817 0.876008064516129 0.994959677419355
"29" "Burkholderia" 0.056253120187109 -0.0352735723697874 1.04946585709299 0.651209677419355 0.994959677419355
"30" "Prevotella" 0.282122564527911 -0.92274125246396 1.81942836286398 0.559475806451613 0.994959677419355
"31" "Abiotrophia" -0.221791344438805 -1.08790782892707 0.23598424409378 0.420362903225806 0.994959677419355
"32" "Parvimonas" -0.0917932764434909 -3.14859545973073 2.58646750378517 0.862903225806452 0.994959677419355
"33" "Mogibacterium" -0.246803375338949 -2.32691293897132 0.395857017810435 0.627016129032258 0.994959677419355
"34" "Dialister" -0.0335732268402669 -1.07284804221541 0.230512032854987 0.858870967741935 0.994959677419355
"35" "Haemophilus" -0.0888282590623389 -1.32318728463687 1.11829756084232 0.809475806451613 0.994959677419355
"36" "Corynebacterium" -2.05037725996013 -6.18132374211705 0.993257104121511 0.230846774193548 0.994959677419355
"37" "Treponema" 0.124953942923601 -0.366773629095616 7.32272107524448 0.698588709677419 0.994959677419355
